OBJECTID,COUNTER,LOCATION,LAT,LON,INSTALL_DATE,NOTES,GLOBALID,CNN_NODE,CNN_BLOCK,IDENTIFIER,shape,SF Find Neighborhoods 2,Current Police Districts 2,Current Supervisor Districts 2,Analysis Neighborhoods 2,Neighborhoods
65,53,Potrero north of 21st SB,37.75882,-122.40697,20110420000000,,,"24,000,000","10,666,101",100005220,POINT (-122.40707 37.758335),53,3,2,20,53
10,20,Ortega St West of 21st Ave SB and NB,37.752286,-122.479227,20150820000000,,,"27,337,000","10,008,000",100025093,POINT (-122.47921 37.75228),39,10,7,35,39
9,55,Market St East of Van Ness WB,37.775383,-122.419034,20110418000000,,,"30,747,000","8,754,201",100005209,POINT (-122.41902 37.77538),21,5,10,20,21
15,52,Valencia north of 14th SB,37.768673,-122.42225,20100918000000,,,"24,382,000","13,056,000",100005235,POINT (-122.42223 37.76867),53,3,2,20,53
64,42,Portola west of Burnett WB,37.746928,-122.445623,20151031000000,,,"22,341,000","10,612,201",100018377,POINT (-122.44561 37.74692),48,9,5,22,48
35,7,11th St North of Folsom,37.77248,-122.41468,20160904000000,,,"24,249,000","513,000",100025091,POINT (-122.41402 37.77186),32,1,10,34,32
44,43,23rd Ave. North of Clement NB,37.782909,-122.482792,20160623000000,,,"27,647,000","1,212,000",100018383,POINT (-122.48278 37.782906),8,8,4,29,8
73,71,Broadway Tunnel west of Hyde St Overpass,37.79617,-122.41949,20110327000000,,,"25,308,000","3,186,201",100044181,POINT (-122.419464 37.79606),16,6,3,32,16
29,47,Portola east of Twin Peaks EB,37.745906,-122.449964,20151031000000,,,"33,498,000","10,613,101",100018376,POINT (-122.44995 37.745903),96,9,5,10,96
4,6,Duboce Bike Path East of Church,37.769482,-122.427539,20150903000000,,,"30,758,000","4,984,000",100018373,POINT (-122.42753 37.769478),28,7,5,5,28
69,54,Potrero south of 23rd NB,37.75383,-122.40626,20101114000000,,,"23,962,000","10,671,000",100005213,POINT (-122.406235 37.75395),54,3,9,20,54
