COUNTER_LOCATION (group),Hour of Collection Timestamp,Year of Collection Timestamp,Average Bike Count
17th St East of Hoff St,12,2017,34.032876712
17th St East of Hoff St,13,2016,38.527322404
17th St East of Hoff St,13,2017,37.452054795
17th St East of Hoff St,14,2016,37.969945355
17th St East of Hoff St,14,2017,36.909589041
17th St East of Hoff St,15,2016,46.183060109
17th St East of Hoff St,15,2017,45.802739726
17th St East of Hoff St,16,2016,61.931693989
17th St East of Hoff St,16,2017,60.769863014
17th St East of Hoff St,17,2016,108.234972678
17th St East of Hoff St,17,2017,106.153424658
17th St East of Hoff St,18,2016,104.729508197
17th St East of Hoff St,18,2017,99.534246575
17th St East of Hoff St,19,2016,66.683060109
17th St East of Hoff St,19,2017,63.010958904
17th St East of Hoff St,20,2016,40.071038251
17th St East of Hoff St,20,2017,38.673972603
17th St East of Hoff St,21,2016,28.019125683
17th St East of Hoff St,21,2017,26.109589041
17th St East of Hoff St,22,2016,20.002732240
17th St East of Hoff St,22,2017,18.148351648
17th St East of Hoff St,23,2016,12.325136612
17th St East of Hoff St,23,2017,10.785714286
23rd Ave North of Clement SB,0,2016,0.232558140
23rd Ave North of Clement SB,0,2017,0.263013699
23rd Ave North of Clement SB,1,2016,0.050387597
23rd Ave North of Clement SB,1,2017,0.101369863
23rd Ave North of Clement SB,2,2016,0.031007752
23rd Ave North of Clement SB,2,2017,0.054794521
23rd Ave North of Clement SB,3,2016,0.023255814
23rd Ave North of Clement SB,3,2017,0.073972603
23rd Ave North of Clement SB,4,2016,0.042635659
23rd Ave North of Clement SB,4,2017,0.071232877
23rd Ave North of Clement SB,5,2016,0.127413127
23rd Ave North of Clement SB,5,2017,0.194520548
23rd Ave North of Clement SB,6,2016,0.362934363
23rd Ave North of Clement SB,6,2017,0.728767123
23rd Ave North of Clement SB,7,2016,1.316602317
23rd Ave North of Clement SB,7,2017,2.183561644
23rd Ave North of Clement SB,8,2016,2.027027027
23rd Ave North of Clement SB,8,2017,3.679452055
23rd Ave North of Clement SB,9,2016,1.729729730
23rd Ave North of Clement SB,9,2017,2.915068493
23rd Ave North of Clement SB,10,2016,1.532818533
23rd Ave North of Clement SB,10,2017,3.287671233
23rd Ave North of Clement SB,11,2016,1.779922780
23rd Ave North of Clement SB,11,2017,3.317808219
23rd Ave North of Clement SB,12,2016,2.239382239
23rd Ave North of Clement SB,12,2017,3.934246575
23rd Ave North of Clement SB,13,2016,2.806949807
23rd Ave North of Clement SB,13,2017,4.468493151
23rd Ave North of Clement SB,14,2016,2.428571429
23rd Ave North of Clement SB,14,2017,4.654794521
23rd Ave North of Clement SB,15,2016,2.803088803
23rd Ave North of Clement SB,15,2017,4.972602740
23rd Ave North of Clement SB,16,2016,2.803088803
23rd Ave North of Clement SB,16,2017,5.134246575
23rd Ave North of Clement SB,17,2016,3.127413127
23rd Ave North of Clement SB,17,2017,5.446575342
23rd Ave North of Clement SB,18,2016,2.420849421
23rd Ave North of Clement SB,18,2017,5.038356164
23rd Ave North of Clement SB,19,2016,1.328185328
23rd Ave North of Clement SB,19,2017,2.693150685
23rd Ave North of Clement SB,20,2016,0.884169884
23rd Ave North of Clement SB,20,2017,1.843835616
23rd Ave North of Clement SB,21,2016,0.602316602
23rd Ave North of Clement SB,21,2017,1.005479452
23rd Ave North of Clement SB,22,2016,0.451737452
23rd Ave North of Clement SB,22,2017,0.663013699
23rd Ave North of Clement SB,23,2016,0.397683398
23rd Ave North of Clement SB,23,2017,0.441095890
23rd Avenue north of Clement NB,0,2016,0.203703704
23rd Avenue north of Clement NB,0,2017,0.235616438
23rd Avenue north of Clement NB,1,2016,0.098765432
23rd Avenue north of Clement NB,1,2017,0.101369863
23rd Avenue north of Clement NB,2,2016,0.037037037
23rd Avenue north of Clement NB,2,2017,0.049315068
23rd Avenue north of Clement NB,3,2016,0.055555556
23rd Avenue north of Clement NB,3,2017,0.032876712
23rd Avenue north of Clement NB,4,2016,0.055555556
23rd Avenue north of Clement NB,4,2017,0.030136986
23rd Avenue north of Clement NB,5,2016,0.302469136
23rd Avenue north of Clement NB,5,2017,0.284931507
23rd Avenue north of Clement NB,6,2016,0.858024691
23rd Avenue north of Clement NB,6,2017,1.682191781
23rd Avenue north of Clement NB,7,2016,2.574074074
23rd Avenue north of Clement NB,7,2017,2.783561644
23rd Avenue north of Clement NB,8,2016,3.456790123
23rd Avenue north of Clement NB,8,2017,3.972602740
23rd Avenue north of Clement NB,9,2016,3.154320988
23rd Avenue north of Clement NB,9,2017,3.389041096
23rd Avenue north of Clement NB,10,2016,2.901234568
23rd Avenue north of Clement NB,10,2017,3.005479452
23rd Avenue north of Clement NB,11,2016,3.512345679
23rd Avenue north of Clement NB,11,2017,3.463013699
23rd Avenue north of Clement NB,12,2016,4.148148148
23rd Avenue north of Clement NB,12,2017,3.887671233
23rd Avenue north of Clement NB,13,2016,4.253086420
23rd Avenue north of Clement NB,13,2017,3.756164384
23rd Avenue north of Clement NB,14,2016,3.631901840
23rd Avenue north of Clement NB,14,2017,3.778082192
23rd Avenue north of Clement NB,15,2016,4.306748466
23rd Avenue north of Clement NB,15,2017,4.816438356
23rd Avenue north of Clement NB,16,2016,3.889570552
23rd Avenue north of Clement NB,16,2017,4.167123288
23rd Avenue north of Clement NB,17,2016,3.595092025
23rd Avenue north of Clement NB,17,2017,3.673972603
23rd Avenue north of Clement NB,18,2016,2.834355828
23rd Avenue north of Clement NB,18,2017,3.413698630
23rd Avenue north of Clement NB,19,2016,1.766871166
23rd Avenue north of Clement NB,19,2017,1.947945205
23rd Avenue north of Clement NB,20,2016,1.423312883
23rd Avenue north of Clement NB,20,2017,1.435616438
23rd Avenue north of Clement NB,21,2016,0.828220859
23rd Avenue north of Clement NB,21,2017,0.920547945
23rd Avenue north of Clement NB,22,2016,0.822085890
23rd Avenue north of Clement NB,22,2017,0.624657534
23rd Avenue north of Clement NB,23,2016,0.398773006
23rd Avenue north of Clement NB,23,2017,0.405479452
(01) 11th St. Between Howard & Folsom,0,2018,4.863013699
(01) 11th St. Between Howard & Folsom,0,2019,5.637362637
(01) 11th St. Between Howard & Folsom,0,2020,4.035519126
(01) 11th St. Between Howard & Folsom,0,2021,2.777777778
(01) 11th St. Between Howard & Folsom,1,2018,3.232876712
(01) 11th St. Between Howard & Folsom,1,2019,3.890109890
(01) 11th St. Between Howard & Folsom,1,2020,2.153005464
(01) 11th St. Between Howard & Folsom,1,2021,1.311111111
(01) 11th St. Between Howard & Folsom,2,2018,2.240384615
(01) 11th St. Between Howard & Folsom,2,2019,2.509641873
(01) 11th St. Between Howard & Folsom,2,2020,1.619178082
(01) 11th St. Between Howard & Folsom,2,2021,0.932584270
(01) 11th St. Between Howard & Folsom,3,2018,1.589041096
(01) 11th St. Between Howard & Folsom,3,2019,1.497252747
(01) 11th St. Between Howard & Folsom,3,2020,1.420765027
(01) 11th St. Between Howard & Folsom,3,2021,1.666666667
(01) 11th St. Between Howard & Folsom,4,2018,1.472602740
(01) 11th St. Between Howard & Folsom,4,2019,1.620879121
(01) 11th St. Between Howard & Folsom,4,2020,2.008196721
(01) 11th St. Between Howard & Folsom,4,2021,2.277777778
(01) 11th St. Between Howard & Folsom,5,2018,4.526027397
(01) 11th St. Between Howard & Folsom,5,2019,4.530219780
(01) 11th St. Between Howard & Folsom,5,2020,3.295081967
(01) 11th St. Between Howard & Folsom,5,2021,3.666666667
(01) 11th St. Between Howard & Folsom,6,2018,12.449315068
(01) 11th St. Between Howard & Folsom,6,2019,15.920329670
(01) 11th St. Between Howard & Folsom,6,2020,10.931693989
(01) 11th St. Between Howard & Folsom,6,2021,11.622222222
(01) 11th St. Between Howard & Folsom,7,2018,40.082191781
(01) 11th St. Between Howard & Folsom,7,2019,38.967032967
(01) 11th St. Between Howard & Folsom,7,2020,19.112021858
(01) 11th St. Between Howard & Folsom,7,2021,15.522222222
(01) 11th St. Between Howard & Folsom,8,2018,82.980821918
(01) 11th St. Between Howard & Folsom,8,2019,85.788461538
(01) 11th St. Between Howard & Folsom,8,2020,33.344262295
(01) 11th St. Between Howard & Folsom,8,2021,22.733333333
(01) 11th St. Between Howard & Folsom,9,2018,75.146575342
(01) 11th St. Between Howard & Folsom,9,2019,82.326923077
(01) 11th St. Between Howard & Folsom,9,2020,30.128415301
(01) 11th St. Between Howard & Folsom,9,2021,20.733333333
(01) 11th St. Between Howard & Folsom,10,2018,38.634246575
(01) 11th St. Between Howard & Folsom,10,2019,42.246575342
(01) 11th St. Between Howard & Folsom,10,2020,23.412568306
(01) 11th St. Between Howard & Folsom,10,2021,18.811111111
(01) 11th St. Between Howard & Folsom,11,2018,29.471232877
(01) 11th St. Between Howard & Folsom,11,2019,31.824657534
(01) 11th St. Between Howard & Folsom,11,2020,23.311475410
(01) 11th St. Between Howard & Folsom,11,2021,22.822222222
(01) 11th St. Between Howard & Folsom,12,2018,32.236986301
(01) 11th St. Between Howard & Folsom,12,2019,32.838356164
(01) 11th St. Between Howard & Folsom,12,2020,26.800546448
(01) 11th St. Between Howard & Folsom,12,2021,26.344444444
(01) 11th St. Between Howard & Folsom,13,2018,33.694520548
(01) 11th St. Between Howard & Folsom,13,2019,35.840659341
(01) 11th St. Between Howard & Folsom,13,2020,30.423497268
(01) 11th St. Between Howard & Folsom,13,2021,26.677777778
(01) 11th St. Between Howard & Folsom,14,2018,35
(01) 11th St. Between Howard & Folsom,14,2019,37.274725275
(01) 11th St. Between Howard & Folsom,14,2020,32.300546448
(01) 11th St. Between Howard & Folsom,14,2021,28.444444444
(01) 11th St. Between Howard & Folsom,15,2018,43.086301370
(01) 11th St. Between Howard & Folsom,15,2019,46.269230769
(01) 11th St. Between Howard & Folsom,15,2020,36.655737705
(01) 11th St. Between Howard & Folsom,15,2021,33.7
(01) 11th St. Between Howard & Folsom,16,2018,71.026027397
(01) 11th St. Between Howard & Folsom,16,2019,77.337912088
(01) 11th St. Between Howard & Folsom,16,2020,47.051912568
(01) 11th St. Between Howard & Folsom,16,2021,37.566666667
(01) 11th St. Between Howard & Folsom,17,2018,130.878082192
(01) 11th St. Between Howard & Folsom,17,2019,152.574175824
